screen_name,message,created_at,tweet_id,tfidf_kw1,tfidf_kw2,tfidf_kw3,tfidf_kw4,tfidf_kw5,keybert_kw1,keybert_kw2,keybert_kw3,keybert_kw4,keybert_kw5
reprichhudson,"RT @zackroday: “In a Congress with a lot of rancor,” @RepRichHudson said, “this is an example of Republicans and Democrats working together…",Wed Jul 17 15:46:59 +0000 2019,1151518669660446721,congress,democrats,example,lot,republicans,congress lot,democrats working,example republicans,rancor said,republicans democrats
reprichhudson,Joining @HelsinkiComm to examine the important role religious actors and interfaith institutions play in developing strategies to prevent and respond to hate crimes and violence at places of worship. https://t.co/NT9TD9OyVv,Tue Jul 16 15:48:52 +0000 2019,1151156753901522944,important role,examine,institutions,joining,play,developing strategies,hate crimes,interfaith institutions,joining examine,places worship
reprichhudson,RT @GOPLeader: Democrats’ minimum wage plan will erase up to 3.7 million American jobs—hitting low and middle-income families the worst.…,Tue Jul 16 15:45:48 +0000 2019,1151155983378464768,american jobs,democrats,families,hitting,low,american jobs,hitting low,jobs hitting,middle-income families,million american
reprichhudson,"My wife Renee and I send our deepest condolences to SGM Sartor’s family and teammates. We pray they feel God’s comfort knowing SGM Sartor lived, served our country and died as a hero. We are forever grateful. 🇺🇸 https://t.co/76bb8dwlpz",Mon Jul 15 14:36:52 +0000 2019,1150776247062028289,comfort knowing,deepest condolences,died hero,forever grateful,god s,condolences sgm,died hero,family teammates,forever grateful,pray feel
reprichhudson,RT @AmandaMOAA: .@RepRichHudson bill that would allow active duty service members to sue the military for medical malpractice is included i…,Sun Jul 14 12:56:26 +0000 2019,1150388583209086976,medical malpractice,military medical,service members,active,allow,active duty,allow active,malpractice included,members sue,military medical
reprichhudson,RT @EdGainesIII: #NC @RepRichHudson &amp; #IN @RepLarryBucshon were #spoton on their comments supporting online dispute resolution 4 #outofnetw…,Sun Jul 14 12:55:44 +0000 2019,1150388408457605120,online,resolution,supporting,,,comments supporting,dispute resolution,nc spoton,online dispute,spoton comments
reprichhudson,RT @OurHospitals: Thank you @RepEliotEngel @RepRichHudson @RepJoeKennedy @USRepLong for supporting #essentialhospitals and vulnerable patie…,Sun Jul 14 12:54:03 +0000 2019,1150387985671757825,supporting,thank,vulnerable,,,essentialhospitals vulnerable,supporting essentialhospitals,thank supporting,vulnerable patie,
reprichhudson,"RT @DrGrantCampbell: https://t.co/F487N1YRJl Thank you @RepRichHudson!  Some give lip service to helping vets, Hudson has stepped up and ma…",Sun Jul 14 12:51:45 +0000 2019,1150387405377167360,helping,hudson,service,thank,vets,helping vets,hudson stepped,lip service,service helping,stepped ma
reprichhudson,"RT @ACSCANNC: On behalf of cancer patients and cancer survivors, @ACSCANNC  gives a BIG shout out and THANK YOU to @RepRichHudson! T/Y for…",Sun Jul 14 12:48:47 +0000 2019,1150386658690379776,big,cancer,gives,patients,shout,behalf cancer,cancer survivors,gives big,shout thank,survivors gives
reprichhudson,"House Ds aren’t just abandoning decades of bipartisan tradition– they’re abandoning our troops &amp; their families. This is shameful. I urge my Democrat colleagues to stop politicizing our national defense, think of our troops, &amp; work with us to bring a bipartisan bill to the floor. https://t.co/BLGdf5NpNG",Fri Jul 12 19:20:23 +0000 2019,1149760435303800833,aren t,national defense,t just,troops families,bipartisan,abandoning troops,aren t,bring bipartisan,defense think,families shameful
reprichhudson,RT @GOPLeader: Wow. A new low for Democrats and the House of Representatives. They just voted to CUT our military’s personnel accounts—the…,Fri Jul 12 17:57:13 +0000 2019,1149739504460279808,house representatives,low democrats,new low,accounts,cut,cut military,low democrats,personnel accounts,voted cut,house
reprichhudson,"RT @HouseGOP: Despite years of strong bipartisan commitment to securing our country, House Dems have doubled down on their plans to play po…",Fri Jul 12 14:24:40 +0000 2019,1149686012983042049,commitment securing,house dems,bipartisan,country,despite,bipartisan commitment,country house,dems doubled,play po,plans
reprichhudson,"Today, @HouseCommerce Subcommittee on Health is working on several bipartisan bills on #surprisebilling, improving public health and reauthorizing health programs. https://t.co/1BBCatUfJJ",Thu Jul 11 17:12:29 +0000 2019,1149365859883900928,bipartisan bills,working bipartisan,health,improving,programs,bipartisan bills,health programs,subcommittee health,surprisebilling improving,public
reprichhudson,"""NC lawmaker Hudson continues fight to help Fort Bragg soldier battling cancer""

@ABC11_WTVD: https://t.co/2WbHzxRmba",Thu Jul 11 15:55:16 +0000 2019,1149346427350528000,bragg soldier,fort bragg,cancer,continues,fight,bragg soldier,continues fight,help fort,hudson continues,lawmaker hudson
reprichhudson,"RT @HunterandAngler: Today on Capitol Hill: @RepDebDingell, @RepRichHudson educate colleagues and staffers on the importance of Recovering…",Wed Jul 10 14:35:14 +0000 2019,1148963898353233921,capitol hill,colleagues,educate,importance,,capitol hill,educate colleagues,hill educate,importance recovering,staffers importance
reprichhudson,"We’re fortunate to have students like Bryson who work to better themselves while serving our community and helping those in need. I was thrilled to present Bryson @theaward Gold Medal for his great achievement.

From @indytribune: https://t.co/mTXKEQUsQh",Wed Jul 10 13:49:28 +0000 2019,1148952379854852096,gold medal,students like,better,community,great,bryson gold,gold medal,great achievement,serving community,students like
reprichhudson,"Mr. Perot is admired here at Fort Bragg because of his tremendous humanitarian efforts &amp; support for our service members, veterans, POWs, &amp; their families. Renee &amp; I send our condolences to his family and pray they’ll find peace knowing Mr. Perot lived a full and selfless life.",Tue Jul 09 15:39:40 +0000 2019,1148617726237261824,efforts support,fort bragg,members veterans,mr perot,renee send,family pray,fort bragg,humanitarian efforts,lived selfless,members veterans
reprichhudson,"I’m incredibly sad to hear about Ross Perot’s passing. Mr. Perot was an American entrepreneur, veteran and patriot who truly cared for those who wear America’s uniform.

https://t.co/saS1vDI73d",Tue Jul 09 15:38:59 +0000 2019,1148617554115616769,america s,m incredibly,mr perot,american,cared,entrepreneur veteran,incredibly sad,patriot truly,ross perot,s passing
reprichhudson,"Great to join Up Front with @CabarrusMag to talk about our gratitude for America's men &amp; women in uniform. We also discussed several issues facing service members &amp; veterans &amp; our ongoing work to ensure they receive the support &amp; health care they deserve.

https://t.co/7wG2WjshbP",Mon Jul 08 16:57:16 +0000 2019,1148274865948024838,america's men,great join,health care,issues facing,members veterans,america's men,discussed issues,ensure receive,great join,service members
reprichhudson,"RT @NCEmergency: Monday #ncwx: 
* Scattered Tstorms are possible across NC today.
* Tstorm coverage will decrease throughout the week. 
* T…",Mon Jul 08 14:53:39 +0000 2019,1148243756598071297,monday ncwx,ncwx scattered,coverage,possible,week,coverage decrease,decrease week,scattered tstorms,tstorm coverage,monday
reprichhudson,"RT @axios: BREAKING: The U.S. economy added 224k jobs in June, blowing past expectations of 165k https://t.co/zecDHx5wJ0",Fri Jul 05 13:27:35 +0000 2019,1147134933825150977,added jobs,s economy,u s,expectations,past,added jobs,blowing past,economy added,jobs june,s economy
reprichhudson,"Happy #IndependenceDay! 

As we celebrate #FourthOfJuly, join me in praying for our service members, veterans and military families who dedicate their lives to defending our freedoms. https://t.co/q8VnibOtNh",Thu Jul 04 13:32:04 +0000 2019,1146773675779219456,join praying,members veterans,military families,praying service,service members,defending freedoms,fourthofjuly join,happy independenceday,military families,praying service
reprichhudson,"RT @ConcordNCFire: Today, we stand guard to honor and pay the utmost respect to a leader, a friend, and a faithful servant of the City of C…",Wed Jul 03 17:44:44 +0000 2019,1146474872496971776,guard honor,city,faithful,friend,leader,city c,faithful servant,friend faithful,guard honor,honor pay
reprichhudson,RT @ACLAlabs: ACLA applauds @RepRichHudson for supporting the LAB Act – a critical step to ensure we #ProtectLabAccess for American seniors!,Tue Jul 02 13:24:08 +0000 2019,1146046900824621057,critical step,act,american,ensure,seniors,acla applauds,applauds supporting,lab act,protectlabaccess american,step ensure
reprichhudson,"I was shocked &amp; saddened to hear that my friend Sam passed away. Renee &amp; I are praying for his wife Shannon &amp; their family in this difficult time. Sam has always been a respected leader in Concord, and I appreciate his years of service to our community.

https://t.co/vt7uIJbmE2",Mon Jul 01 19:19:59 +0000 2019,1145774064461635584,family difficult,friend sam,passed away,renee praying,saddened hear,concord appreciate,family difficult,hear friend,respected leader,sam passed
reprichhudson,"In this week's newsletter, I discussed celebrating Fourth of July, saying thank you to America's men and women in uniform, and ensuring our service members and veterans have the resources and support they deserve. 

⬇️⬇️⬇️

https://t.co/RTQqXSfdnT",Mon Jul 01 15:42:24 +0000 2019,1145719308816912384,america's men,members veterans,men women,newsletter discussed,saying thank,america's men,discussed celebrating,fourth july,newsletter discussed,saying thank
reprichhudson,"RT @3rdSFGroup: Today we celebrate the 29th anniversary of our re-activation. 🎉

Our unit has a storied history that dates back to the 1960…",Mon Jul 01 15:22:33 +0000 2019,1145714312406851584,anniversary,celebrate,history,unit,,anniversary re-activation,celebrate anniversary,re-activation unit,storied history,unit storied
reprichhudson,"RT @HelsinkiComm: Tomorrow at 3P/CET: @HelsinkiComm field hearing in Poland on #BalticSeaSecurity with high-level reps from @USNATO, @US_EU…",Mon Jul 01 13:29:15 +0000 2019,1145685801604386821,field,hearing,tomorrow,,,balticseasecurity high-level,cet field,field hearing,hearing poland,high-level reps
reprichhudson,"I always enjoy visiting with constituents, hearing what's on your mind and showing you the @uscapitol, but these two church groups were especially great! 🇺🇸 https://t.co/KlXXnboENz",Fri Jun 28 18:35:03 +0000 2019,1144675595546177536,constituents,enjoy,especially,great,groups,church groups,enjoy visiting,especially great,hearing what's,mind showing
reprichhudson,Finally.. Pelosi allowed a vote &amp; the House passed the Senate’s bipartisan border &amp; humanitarian aid bill. But this bill isn’t perfect.. we must act to fix our broken immigration system &amp; stop human trafficking &amp; the flow of drugs &amp; illegal immigration across our southern border.,Thu Jun 27 21:46:34 +0000 2019,1144361404746665989,bipartisan border,border humanitarian,flow drugs,house passed,human trafficking,allowed vote,bipartisan border,drugs illegal,finally pelosi,fix broken
reprichhudson,Proud 🇺🇸 https://t.co/VFYJI4rgVL,Thu Jun 27 19:59:15 +0000 2019,1144334394703908865,proud,,,,,proud,,,,
reprichhudson,"We must do everything we can to help those who are suffering from invisible wounds. If you are a service member or veteran in crisis or you’re concerned about someone, visit https://t.co/O6PsBqvGJO or call 1-800-273-8255 &amp; press 1. #PTSDAwarenessDay",Thu Jun 27 18:01:11 +0000 2019,1144304682329870338,crisis concerned,invisible wounds,member veteran,service member,suffering invisible,crisis concerned,help suffering,invisible wounds,member veteran,press ptsdawarenessday
reprichhudson,"Many people struggle with #PTSD – particularly our service members. We’ve passed laws to address the tragedy of veteran suicide &amp; improve mental health care, but our work isn't done. I'll continue to advocate for better treatment, better resources &amp; better care. #PTSDAwarenessDay https://t.co/xLO1xvfSzm",Thu Jun 27 17:58:53 +0000 2019,1144304106217050113,address tragedy,better care,health care,i'll continue,improve mental,address tragedy,i'll continue,mental health,particularly service,passed laws
reprichhudson,"Yesterday the Senate overwhelmingly passed a bipartisan border and humanitarian aid bill, 84-8. I’m joining my colleagues to call on @SpeakerPelosi to allow a vote on this bipartisan bill so we can send it to @POTUS today and begin to address the crisis at our southern border. https://t.co/6fYocSU8J9",Thu Jun 27 15:52:37 +0000 2019,1144272330790776834,address crisis,bipartisan border,border humanitarian,crisis southern,humanitarian aid,allow vote,begin address,bipartisan border,crisis southern,humanitarian aid
reprichhudson,"My wife Renee &amp; I join our country in mourning the deaths of Green Beret Master Sgt. Michael B. Riley &amp; Sgt. James G. Johnston. They will always be remembered for their sacrifice. We send our sincere condolences to their families &amp; friends, &amp; we pray God brings them comfort. https://t.co/mHREBztuZC",Thu Jun 27 14:20:55 +0000 2019,1144249253512040449,condolences families,country mourning,families friends,god brings,green beret,condolences families,god brings,green beret,johnston remembered,renee join
reprichhudson,"Thank you @ABCGovAffairs @ABCCarolinas for presenting me with the Merit Shop Eagle Award. Growing up &amp; working summers for my dad who owned a residential construction company, I gained a great appreciation for the construction industry &amp; know the positive impact on our community. https://t.co/sXpL2IckuF",Wed Jun 26 18:25:32 +0000 2019,1143948424242520064,thank presenting,appreciation,award,community,company,appreciation construction,construction industry,dad owned,gained great,shop eagle
reprichhudson,Good luck to my good friend and House GOP Whip @SteveScalise who is taking the field tonight as Team @GOP's leadoff batter! #CongressionalBaseballGame #GeauxScalise https://t.co/mneI0jvYoQ,Wed Jun 26 15:48:02 +0000 2019,1143908789046976514,good friend,field,gop,house,taking,batter congressionalbaseballgame,friend house,gop whip,luck good,taking field
reprichhudson,"I’ve worked hard to restore coverage and benefits for our Blue Water Vietnam veterans, and I’m thrilled President @realDonaldTrump signed this bill into law.

https://t.co/4vYDeorEhz",Wed Jun 26 14:24:46 +0000 2019,1143887835193323522,benefits blue,blue water,coverage benefits,hard restore,president signed,benefits blue,coverage benefits,restore coverage,signed law,thrilled president
reprichhudson,"It was an honor to meet the 2019 Stars of Life from @MecklenburgEMS - Joshua, Cynthia and Justin.  I will continue to support all of our EMS professionals and the critical role they play in our health care system. #EMS #SupportEMS @amerambassoc https://t.co/krLJdZQF3K",Tue Jun 25 18:38:59 +0000 2019,1143589420030988289,continue support,critical role,health care,ems,honor,cynthia justin,life joshua,meet stars,play health,professionals critical
reprichhudson,"RT @GreenBeretFound: ONE WEEK left to apply for Green Beret Foundation Scholarships! The deadline to apply is Monday, July 1st. The Green B…",Mon Jun 24 18:03:49 +0000 2019,1143218181311475712,green beret,apply,july,left,monday,apply green,apply monday,foundation scholarships,green beret,left apply
reprichhudson,"RT @NCEmergency: Monday #ncwx:
* Scattered severe storms are possible this afternoon and evening across the western half of the state.
* Pr…",Mon Jun 24 13:49:35 +0000 2019,1143154201310191616,monday ncwx,ncwx scattered,severe storms,afternoon,evening,evening western,half state,monday ncwx,ncwx scattered,possible afternoon
reprichhudson,"However, I urge a democratic &amp; peaceful resolution to the current tensions. I’ll continue to support #Georgia’s democratic institutions and the fundamental freedoms of the Georgian people.",Fri Jun 21 20:21:55 +0000 2019,1142165774112628737,continue support,ll continue,current,freedoms,georgian,current tensions,fundamental freedoms,ll continue,peaceful resolution,resolution current
reprichhudson,"As a @HelsinkiComm member, I’m following events at the Georgian Parliament in Tbilisi. Given #Russia’s illegal occupation of sovereign Georgian territory, I get why emotions are high.",Fri Jun 21 20:21:41 +0000 2019,1142165716008951808,russia s,following,georgian,given,high,emotions high,events georgian,following events,illegal occupation,member m
reprichhudson,"RT @HelsinkiComm: Pleased to announce the launch of @HelsinkiComm's new #podcast series, #HelsinkiOnTheHill. Chair @RepHastingsFL:  ""We aim…",Fri Jun 21 20:14:10 +0000 2019,1142163825082470401,new podcast,podcast series,s new,announce,chair,announce launch,chair aim,helsinkionthehill chair,launch s,new podcast
reprichhudson,Great to meet you two today. Keep up to good work! https://t.co/yt7ikx8MnY,Fri Jun 21 15:34:23 +0000 2019,1142093412780392448,good work,great meet,,,,good work,great meet,,,
reprichhudson,"This is a great win for religious liberty, and I'm proud to have been a part of the amicus brief led by @SteveScalise. The #PeaceCross will continue to stand – as it has for decades – to honor the brave Americans who made the ultimate sacrifice in #WWI. https://t.co/q466EmcRRD",Thu Jun 20 21:07:30 +0000 2019,1141814859010588672,brave americans,continue stand,i'm proud,ultimate sacrifice,brief,americans ultimate,amicus brief,honor brave,i'm proud,peacecross continue
reprichhudson,"As a member of @theaward board, I was honored to speak to the 2019 Gold Medalists and their families this afternoon. This incredible award encourages youth to be well rounded, civically engaged, and active citizens. 🥇 https://t.co/Nmfi31Gvhu",Thu Jun 20 19:27:37 +0000 2019,1141789720223133697,active,afternoon,award,board,citizens,active citizens,afternoon incredible,award encourages,civically engaged,encourages youth
reprichhudson,"Job training programs at @RCCCedu &amp; other community colleges are 1 of the greatest assets we have for job growth. I’ll continue to work to ensure students, community colleges, &amp; high schools have the access &amp; flexibility to implement these great programs.

https://t.co/U9pYxyEnqV",Thu Jun 20 15:02:48 +0000 2019,1141723075458850818,continue work,job growth,job training,ll continue,work ensure,access flexibility,colleges high,ensure students,greatest assets,implement great
reprichhudson,"Glad the House supported my amendment to increase funding to study &amp; tackle the root causes of school violence, including the effectiveness of grants authorized under the STOP School Violence Act. I want my son &amp; all of America’s children to feel safe in our schools. https://t.co/89Vm9q7PrU",Wed Jun 19 21:53:07 +0000 2019,1141463949470306304,amendment increase,america s,causes school,glad house,increase funding,act want,amendment increase,feel safe,glad house,grants authorized
reprichhudson,"Great to meet with Annie and Grace, two constituents from Southern Pines, in between a committee hearing and votes. #NC08 #ncpol https://t.co/T4I06azogK",Wed Jun 19 18:01:33 +0000 2019,1141405674494185477,constituents southern,great meet,nc08 ncpol,committee,hearing,committee hearing,constituents southern,great meet,hearing votes,meet annie
reprichhudson,"⬇️ Please share ⬇️

The Cape Fear Valley Blood Donor Center says critical Type O blood could be depleted within days, and people are being urged to donate Type O Blood.

From @fayobserver: https://t.co/qwB8KSEWw2",Wed Jun 19 14:04:20 +0000 2019,1141345976415870976,cape fear,center,critical,says,share,blood donor,center says,critical type,fear valley,o blood
reprichhudson,RT @IvankaTrump: Energizing to see firsthand how industry-led #WorkforceDevelopment programs impact the lives of current &amp; future employees…,Tue Jun 18 19:34:15 +0000 2019,1141066615481614336,current,employees,future,impact,lives,current future,future employees,impact lives,industry-led workforcedevelopment,lives current
reprichhudson,RT @CabarrusCounty: #CCBOC recognizes #K9 Geri on his #retirement as a bomb detection #servicedog with #Cabarrus #Sheriff’s Office. #Thanks…,Tue Jun 18 15:35:58 +0000 2019,1141006649081118721,cabarrus,detection,office,recognizes,sheriff,bomb detection,ccboc recognizes,detection servicedog,k9 geri,office thanks
reprichhudson,"RT @82ndABNDiv: WATCH: Sgt. Breydon Nesbit, @Strike_Hold, was one of the outstanding All American Paratroopers representing the 82nd Airbor…",Tue Jun 18 14:47:06 +0000 2019,1140994350261964800,american,outstanding,paratroopers,representing,sgt,american paratroopers,breydon nesbit,nesbit outstanding,outstanding american,representing airbor
reprichhudson,"RT @ALBrownFootball: CONGRATULATIONS to the CLASS of 2019.
Especially to this group of WONDERS for having THE BELL all four years of high s…",Mon Jun 17 18:17:18 +0000 2019,1140684860723515392,class,congratulations,especially,group,having,class especially,congratulations class,especially group,group wonders,having bell
reprichhudson,Being Lane’s Dad is the greatest blessing... Happy Father's Day to all the incredible dads out there! #FathersDay https://t.co/2aFzM1wzMt,Sun Jun 16 13:34:42 +0000 2019,1140251354042122240,dad,greatest,happy,incredible,lane,dads fathersday,happy father's,incredible dads,blessing,greatest
reprichhudson,"RT @USArmy: Today, we celebrate 244 years of defending and protecting America, and the generations of Soldiers who have answered the call t…",Sat Jun 15 00:17:47 +0000 2019,1139688414654001155,america,answered,celebrate,defending,protecting,generations soldiers,protecting america,soldiers answered,,
reprichhudson,"RT @WhiteHouse: The Army turns 244 years old today—Happy Birthday, @USArmy! #ArmyBday https://t.co/dEzuEwW72d",Sat Jun 15 00:17:47 +0000 2019,1139688414645592066,happy birthday,army,old,turns,,army turns,birthday armybday,happy birthday,,
reprichhudson,"Happy birthday, President @realDonaldTrump! 👍🏼 https://t.co/QcP9m2ejYR",Fri Jun 14 14:51:20 +0000 2019,1139545866367381504,happy birthday,president,,,,birthday president,happy birthday,,,
reprichhudson,RT @WillRobinsonNC: Our ⁦@NC_TNC⁩ trustees met today with ⁦@RepRichHudson⁩ to discuss REPI military readiness and conservation priorities.…,Thu Jun 13 14:36:41 +0000 2019,1139179788596371456,military readiness,discuss,met,priorities,,conservation priorities,discuss repi,military readiness,readiness conservation,repi military
reprichhudson,"RT @Franklin_Graham: The Bible says, “Continue steadfastly in prayer, being watchful in it with thanksgiving.” (Colossians 4:2)",Thu Jun 13 14:32:09 +0000 2019,1139178648878141440,continue,prayer,says,thanksgiving,,bible says,prayer watchful,says continue,steadfastly prayer,thanksgiving colossians
reprichhudson,"As Vice-Chair of the @HelsinkiComm Ad Hoc Committee on Countering Terrorism, I’m holding today’s hearing to further explore Russia’s #counterterrorism policies and the implications for U.S. national security. https://t.co/lDIPzKO1fy",Wed Jun 12 15:40:35 +0000 2019,1138833480887033856,ad hoc,hoc committee,russia s,s hearing,s national,countering terrorism,explore russia,hearing explore,hoc committee,policies implications
reprichhudson,RT @HelsinkiComm: .@RepRichHudson: #Russia seeks to claim the mantle of leadership on #counterterrorism internationally.  Should we be comf…,Wed Jun 12 14:34:49 +0000 2019,1138816931501359105,claim,counterterrorism,leadership,russia,,counterterrorism internationally,leadership counterterrorism,mantle leadership,russia seeks,claim
reprichhudson,Looking forward to chairing this important hearing today at 10:30 AM. Tune in here ⬇️⬇️⬇️ https://t.co/G36N42KEYF,Wed Jun 12 13:04:30 +0000 2019,1138794202890981376,important hearing,looking forward,tune,,,chairing important,forward chairing,important hearing,looking forward,tune
reprichhudson,Congrats to Command Sgt. Maj. Michael Grinston for his selection as the 16th Sergeant Major of the @USArmy. He has done a tremendous job leading @FORSCOM @FtBraggNC. I look forward to continuing to work with him to ensure our soldiers are ready &amp; military families are supported. https://t.co/qrLsVpU3Qu,Tue Jun 11 21:43:10 +0000 2019,1138562340142616576,continuing work,forward continuing,look forward,military families,tremendous job,families supported,forward continuing,job leading,maj michael,selection sergeant
reprichhudson,"RT @SteveScalise: New week, same agenda from Democrats:

→ Prioritize endless witch hunts to harass @realDonaldTrump with no facts to back…",Tue Jun 11 21:00:09 +0000 2019,1138551518775431171,agenda,democrats,facts,new,week,agenda democrats,democrats prioritize,harass facts,new week,prioritize endless
